30.17,38.28
58.22,66.92
74.27,72.96
79.77,75.87
83.09,70.95
85.66,78.89
87.27,81.47
89.42,82.35
89.40,83.85
90.71,85.07
90.78,83.64
92.38,86.87
92.66,86.80
92.36,86.73
93.08,87.75
92.85,88.02
92.98,86.46
93.78,88.16
93.66,88.43
93.99,87.04
93.72,88.84
93.53,89.38
93.80,88.12
93.82,81.85
93.93,87.99
94.19,86.29
94.53,89.21
94.84,89.51
94.97,88.84
94.75,88.56
94.76,89.58
94.75,88.90
94.71,90.19
94.55,85.61
94.63,89.21
95.12,88.39
94.68,88.60
95.01,88.97
95.18,89.79
95.06,89.68
95.20,89.96
95.32,89.28
95.21,88.63
95.04,91.01
95.35,88.46
95.59,89.79
94.90,90.43
95.27,89.24
95.23,88.70
95.04,89.72
